,Estimates of number of homicides,Estimates of rates of homicides per 100 000 population
Jamaica,1250,45.1
Japan,450,0.4
Jordan,205,2.9
Kazakhstan,1499,9.2
Kenya,3175,7.4
Kiribati,8,8.2
Kuwait,102 [72 - 133],3.1 [2.2 - 4.1]
Kyrgyzstan,497,9.1
Lao People's Democratic Republic,473 [119 - 1919],7.1 [1.8 - 28.9]
Latvia,143,7
Lebanon,249 [51 - 1339],5.4 [1.1 - 28.8]
Lesotho,770 [678 - 848],37.5 [33.1 - 41.3]
Liberia,469 [111 - 2045],11.2 [2.6 - 48.8]
Libya,157 [35 - 663],2.6 [0.6 - 10.8]
Lithuania,202,6.7
Luxembourg,1,0.2
Madagascar,1810 [452 - 7244],8.1 [2 - 32.5]
Malawi,321,2
Malaysia,1244 [292 - 6109],4.3 [1 - 20.9]
Maldives,12 [3 - 50],3.5 [0.8 - 14.7]
Mali,1640 [413 - 6466],11 [2.8 - 43.5]
Malta,12,2.8
Marshall Islands,2,4.7
Mauritania,430 [94 - 1879],11.3 [2.5 - 49.5]
Mauritius,33,2.7
Mexico,26597,22
Micronesia (Federated States of),5,4.6
Monaco,0,1.1
Mongolia,283,10.1
Montenegro,17 [13 - 22],2.8 [2.1 - 3.5]
Morocco,810,2.5
Mozambique,852,3.4
Myanmar,2198 [505 - 8815],4.2 [1 - 16.7]
Namibia,446,19.7
Nauru,0,1.3
Nepal,905,3.3
Netherlands,152,0.9
New Zealand,53,1.2
Nicaragua,776,13
Niger,1760 [383 - 6929],10.3 [2.2 - 40.4]
Nigeria,17059 [4158 - 66312],10.1 [2.5 - 39.3]
Niue,0,2.8
Norway,31,0.6
Oman,159 [27 - 1137],4.8 [0.8 - 34.3]
Pakistan,15923,8.9
Palau,1,3.1
Panama,734,19.3
Papua New Guinea,774,10.8
Paraguay,649,9.7
Peru,3295,11
Philippines,12029 [10713 - 13329],12.4 [11.1 - 13.8]
Poland,418,1.1
Portugal,150,1.4
Qatar,146 [24 - 1037],7.1 [1.2 - 50.6]
Republic of Korea,993,2
Republic of Moldova,265,7.5
Romania,457,2.1
Russian Federation,18780,13.1
Rwanda,665 [154 - 2726],5.8 [1.3 - 23.8]
Saint Kitts and Nevis,7,13.8
Saint Lucia,28,15.3
Saint Vincent and the Grenadines,15,14
Samoa,7,3.7
San Marino,0,0.7
Sao Tome and Principe,14,7.2
Saudi Arabia,1829 [405 - 8559],6.5 [1.4 - 30.3]
Senegal,1087 [266 - 4449],7.9 [1.9 - 32.4]
Serbia,154,1.6
Seychelles,9,9.5
Sierra Leone,774 [174 - 3331],13 [2.9 - 55.7]
Singapore,33,0.6
Slovakia,75,1.4
Slovenia,14,0.7
Solomon Islands,27 [6 - 112],4.9 [1.1 - 20.3]
Somalia,560 [130 - 2370],5.5 [1.3 - 23.2]
South Africa,18698,35.7
South Sudan,524 [117 - 2257],4.8 [1.1 - 20.8]
Spain,364,0.8
Sri Lanka,795,3.8
Sudan,2435 [585 - 9560],6.5 [1.6 - 25.7]
Suriname,50,9.4
Swaziland,239,19.4
Sweden,72,0.8
Switzerland,46,0.6
Syrian Arab Republic,544,2.5
Tajikistan,145,1.8
Thailand,3704,5.5
The former Yugoslav republic of Macedonia,37,1.8
Timor-Leste,54 [13 - 219],4.9 [1.2 - 19.6]
Togo,618 [152 - 2392],9.3 [2.3 - 36]
Tonga,5,4.7
Trinidad and Tobago,472,35.3
Tunisia,199 [47 - 853],1.8 [0.4 - 7.8]
Turkey,2020,2.7
Turkmenistan,223 [54 - 901],4.3 [1 - 17.4]
Tuvalu,0,4.2
Uganda,4358,12
Ukraine,2381,5.2
United Arab Emirates,375 [62 - 2755],4.1 [0.7 - 29.9]
United Kingdom of Great Britain and Northern Ireland,922,1.5
United Republic of Tanzania,3831 [905 - 16023],8 [1.9 - 33.5]
United States of America,17293,5.4
Uruguay,267,7.9
Uzbekistan,920 [767 - 1066],3.2 [2.7 - 3.7]
Vanuatu,7,2.9
Venezuela (Bolivarian Republic of),17259,57.6
Viet Nam,3605 [830 - 14008],4 [0.9 - 15.4]
Yemen,1300,5.4
Zambia,1476 [372 - 5968],10.5 [2.6 - 42.4]
Zimbabwe,2066 [521 - 8051],15.1 [3.8 - 58.7]
