"","Inadequate water","Inadequate water","Inadequate water","Inadequate water","Inadequate water","Inadequate water"
"Indonesia","1648.4 [580.7-2636.6]","579.1","0.7","108.4 [38.2-173.3]","60.5","44"
"Iran (Islamic Republic of)","432.3 [0-728.6]","256.4","0.6","56.9 [0-95.9]","38.3","74"
"Iraq","817.4 [76.8-1227.2]","683.7","2.5","84.2 [7.9-126.4]","73.8","257"
"Jamaica","27.5 [7.4-41.7]","4.3","1","2 [0.5-3]","0.9","72"
"Jordan","39.5 [0-67.2]","31.7","0.6","5.6 [0-9.6]","4.4","81"
"Kazakhstan","78 [16.7-125.6]","46.9","0.5","7.8 [1.7-12.6]","5.7","48"
"Kenya","7734.8 [3592.8-10341.4]","3686.9","17.9","575.1 [267.1-768.8]","351.2","1332"
"Kiribati","7.1 [2.9-10.2]","3.5","7","0.4 [0.2-0.6]","0.3","432"
"Kyrgyzstan","58.7 [15.1-87.8]","56.1","1.1","6.8 [1.8-10.2]","6","124"
"Lao People's Democratic Republic","378.8 [148-563.4]","300.8","5.7","31.6 [12.3-47]","28","475"
"Latvia","0.6 [0-1]","0.1","0","0.4 [0-0.7]","0.1","21"
"Lebanon","11.2 [0-19.9]","2.7","0.2","1.8 [0-3.3]","0.8","40"
"Lesotho","343.8 [145.3-460.2]","155.2","16.8","23 [9.7-30.8]","14.7","1121"
"Liberia","643.3 [251.2-856.7]","364.4","15.4","48.9 [19.1-65.1]","35.2","1167"
"Libya","24.8 [0-38.8]","9.6","0.4","3.9 [0-6.1]","2.4","64"
"Lithuania","1.2 [0-2]","0.5","0","0.7 [0-1.1]","0.2","22"
"Madagascar","3004.7 [1263.1-4141.4]","1316","13.5","217.8 [91.6-300.2]","126.7","977"
"Malawi","2573.4 [1046.8-3440.6]","1243","16.2","186.5 [75.9-249.4]","120.8","1173"
"Malaysia","51.1 [0-97.2]","11.9","0.2","7.2 [0-13.7]","3.1","25"
"Maldives","1.3 [0.2-2]","0.3","0.4","0.1 [0-0.2]","0.1","43"
"Mali","5320.8 [2529.2-6951.3]","3849.4","35.8","431.8 [205.2-564.1]","358.4","2907"
"Marshall Islands","2 [0-3.3]","1.1","3.9","0.1 [0-0.2]","0.1","268"
"Mauritania","682.4 [318.3-895.3]","401.6","18","51.3 [23.9-67.3]","38.3","1352"
"Mauritius","6.7 [0-12]","0.7","0.5","0.5 [0-0.9]","0.2","39"
"Mexico","729 [0-1245.6]","227.9","0.6","69.6 [0-118.9]","40.7","58"
"Micronesia (Federated States of)","4.2 [1.2-6.4]","1.6","4.1","0.2 [0.1-0.4]","0.2","239"
"Mongolia","44 [14.9-63.9]","33.9","1.6","4.2 [1.4-6.1]","3.5","151"
"Montenegro","0.2 [0-0.4]","0","0","0.1 [0-0.1]","0","12"
"Morocco","692.6 [222.7-979.6]","437.5","2.1","62.8 [20.2-88.9]","48.3","193"
"Mozambique","6007.6 [2714.4-7854]","3009.4","23.8","449.9 [203.3-588.2]","285.5","1785"
"Myanmar","3280.3 [841.5-4768.2]","976.6","6.2","196 [50.3-284.9]","94.7","371"
"Namibia","125.6 [49.8-173.7]","43.3","5.6","8.2 [3.3-11.4]","4.6","364"
"Nauru","0.1 [0-0.2]","0.1","1.4","0 [0-0]","0","104"
"Nepal","2084.1 [569.1-2946.1]","581.2","7.6","113.5 [31-160.4]","59.6","413"
"Nicaragua","101.1 [28.4-149.7]","61.3","1.7","9.3 [2.6-13.7]","7","155"
"Niger","6802.2 [3060.2-8899]","4418.5","39.6","530.5 [238.6-694]","412.7","3092"
"Nigeria","51889.4 [22684.7-68071.2]","32116.3","30.7","4197.2 [1834.9-5506.2]","3007","2486"
"Niue","0 [0-0]","0","1.7","0 [0-0]","0","91"
"Pakistan","22045.7 [7867.3-30187.7]","14987.6","12.3","1683.8 [600.9-2305.6]","1408.4","940"
"Palau","0.3 [0-0.5]","0","1.2","0 [0-0]","0","54"
"Panama","79.1 [0-138.1]","30.8","2.1","6 [0-10.4]","3.5","157"
"Papua New Guinea","400.6 [162.2-572.8]","301.3","5.6","33.7 [13.6-48.2]","28.8","470"
"Paraguay","83.2 [12.4-128.4]","46","1.2","7.5 [1.1-11.6]","5.5","112"
"Peru","99.9 [26.2-165.7]","40.2","0.3","9.7 [2.5-16.1]","6","32"
"Philippines","2794 [893.6-4007.2]","1324.6","2.9","195.3 [62.5-280.1]","136","202"
"Republic of Moldova","2.1 [0.6-3.1]","2.1","0.1","0.9 [0.3-1.4]","0.5","26"
"Romania","7.9 [1.9-12]","4.6","0","3.4 [0.8-5.1]","1.4","15"
"Russian Federation","452.7 [0-729.6]","35.8","0.3","43.5 [0-70]","13.1","30"
"Rwanda","1249.2 [487.1-1724.5]","697.4","10.9","99 [38.6-136.7]","67.5","864"
"Saint Lucia","0.7 [0-1.1]","0","0.4","0.1 [0-0.1]","0","44"
"Saint Vincent and the Grenadines","0.4 [0-0.6]","0","0.4","0 [0-0.1]","0","43"
"Samoa","3.3 [0-5.9]","0.5","1.7","0.1 [0-0.3]","0.1","79"
"Sao Tome and Principe","15.4 [6.6-20.6]","10.9","8.2","1.3 [0.6-1.8]","1.1","712"
"Senegal","2222 [1054-2964.1]","751","16.2","141.9 [67.3-189.2]","75.2","1034"
"Serbia","13.8 [0-24.3]","0","0.1","1.3 [0-2.3]","0.4","14"
"Seychelles","1.7 [0-2.8]","0","1.8","0.1 [0-0.1]","0","80"
"Sierra Leone","3309.8 [1463.9-4307.7]","2252.8","55.4","269.3 [119.1-350.5]","207.3","4504"
"Solomon Islands","24.3 [7.6-35.6]","8.9","4.4","1.5 [0.5-2.3]","0.9","280"
"Somalia","6013 [2388.9-8079.9]","3171","59","455.2 [180.9-611.7]","293.1","4465"
"South Africa","3811.8 [693.9-5664.2]","1061.1","7.3","206.2 [37.5-306.4]","107.4","394"
"South Sudan","3246.9 [1499.9-4311.5]","1679.7","30","245 [113.2-325.3]","157","2261"
"Sri Lanka","421.2 [127.3-616]","17.5","2","19.1 [5.8-27.9]","4","90"
"Sudan","7566.1 [3783.3-9896.7]","3731.4","20.3","557.4 [278.7-729.1]","354.1","1498"
"Suriname","2.4 [0-3.8]","0.6","0.4","0.3 [0-0.5]","0.1","55"
"Swaziland","179.2 [88-236]","100.5","14.6","13.4 [6.6-17.7]","9.6","1092"
"Syrian Arab Republic","248.2 [0-394.5]","221.2","1.1","30.6 [0-48.6]","25.7","140"
"Tajikistan","235.1 [92-360.9]","215.9","2.9","21.6 [8.5-33.2]","20.4","270"
"Thailand","833.4 [223.9-1212.6]","71.5","1.2","44.1 [11.9-64.2]","11.7","66"
"The former Yugoslav republic of Macedonia","0.6 [0-0.9]","0.2","0","0.3 [0-0.6]","0.1","16"
"Timor-Leste","33.7 [12.9-51.1]","27.5","3","3 [1.1-4.5]","2.6","269"
"Togo","1494.8 [673.2-1945.2]","853","22.5","119.7 [53.9-155.7]","81.1","1802"
"Tonga","2.2 [0-3.8]","0.1","2.1","0.1 [0-0.1]","0","79"
"Tunisia","52.2 [0-81.4]","22.6","0.5","7 [0-10.8]","4.1","64"
"Turkey","286.3 [0-533.4]","29.7","0.4","30.7 [0-57.1]","12.7","41"
"Turkmenistan","183.6 [66.8-265.9]","135.2","3.5","15.9 [5.8-23.1]","13.1","308"
"Tuvalu","0.2 [0-0.3]","0","1.8","0 [0-0]","0","85"
"Uganda","6508.7 [2739.7-8739.1]","3159.6","17.9","508 [213.8-682]","305.5","1398"
"Ukraine","90.9 [13.5-145.5]","23.9","0.2","11.2 [1.7-17.9]","4.4","25"
"United Republic of Tanzania","7129.6 [3071.9-9624.2]","2588.2","14.9","496.3 [213.8-669.9]","255","1039"
"Uruguay","18.8 [0-33.8]","1","0.6","1.2 [0-2.1]","0.4","34"
"Uzbekistan","131.1 [49.2-220]","122.3","0.5","12.9 [4.8-21.7]","11.9","45"
"Vanuatu","10.6 [2.7-15.1]","2.5","4.3","0.6 [0.1-0.8]","0.3","232"
"Venezuela (Bolivarian Republic of)","199.7 [0-342]","97","0.7","21.4 [0-36.7]","14.3","72"
"Viet Nam","321.2 [78.9-537]","124","0.4","21.6 [5.3-36.1]","13.3","24"
"Yemen","1888.1 [874.7-2541.3]","1607.8","7.9","173.7 [80.5-233.8]","155.7","728"
"Zambia","2079.4 [922.8-2748.7]","1683.1","14.8","186.5 [82.7-246.5]","159.9","1325"
"Zimbabwe","2126.4 [980.7-2857.2]","1189.5","15.5","159.8 [73.7-214.7]","112.6","1164"
